source,target,value,name,group,size1,size2,size
81,80,1,orangeumoon,2,1,0.301029996,1.50514998
90,18,1,huitianyou,8,2,0.477121255,2.385606275
91,92,1,a3san,8,3,0.602059991,3.010299955
93,25,1,61276700,1,1,0.301029996,1.50514998
93,22,1,63661558,0,4,0.698970004,3.49485002
18,25,1,126028524,3,1,0.301029996,1.50514998
18,52,1,typhanie,3,1,0.301029996,1.50514998
18,20,1,53983091,1,1,0.301029996,1.50514998
18,94,1,141283048,7,1,0.301029996,1.50514998
8,17,1,ivanshark,7,3,0.602059991,3.010299955
95,5,1,43846305,8,1,0.301029996,1.50514998
95,20,1,55340250,0,1,0.301029996,1.50514998
95,39,1,148975016,2,1,0.301029996,1.50514998
95,18,1,exploremore,11,2,0.477121255,2.385606275
95,96,1,76785140,0,2,0.477121255,2.385606275
10,25,1,youngriver,3,1,0.301029996,1.50514998
10,18,1,kurillaz,6,4,0.698970004,3.49485002
32,30,1,suzanne1005,6,3,0.602059991,3.010299955
32,52,1,direvil,12,3,0.602059991,3.010299955
32,25,1,luoshuiyunshang,11,1,0.301029996,1.50514998
32,97,1,135867497,2,1,0.301029996,1.50514998
32,22,1,50491497,1,1,0.301029996,1.50514998
32,98,1,petertang,1,7,0.903089987,4.515449935
32,24,1,a2555,2,2,0.477121255,2.385606275
32,5,1,Hurtbreak,8,3,0.602059991,3.010299955
32,18,1,lzzzzzfbee,7,2,0.477121255,2.385606275
99,13,1,31528814,6,2,0.477121255,2.385606275
100,101,1,yanluohan,6,3,0.602059991,3.010299955
100,102,1,doodieblah,8,1,0.301029996,1.50514998
100,103,1,xiongyede,8,2,0.477121255,2.385606275
104,105,1,4426368,8,1,0.301029996,1.50514998
104,18,1,foofights,6,2,0.477121255,2.385606275
104,13,1,yamap9thApr.,8,3,0.602059991,3.010299955
106,95,1,59715109,1,5,0.77815125,3.89075625
106,107,1,2429292,1,4,0.698970004,3.49485002
108,109,1,115552732,1,8,0.954242509,4.771212545
110,5,1,53886643,1,5,0.77815125,3.89075625
110,18,1,83671494,1,1,0.301029996,1.50514998
110,20,1,56959224,0,2,0.477121255,2.385606275
111,20,1,134500343,6,1,0.301029996,1.50514998
111,8,1,36149701,7,2,0.477121255,2.385606275
111,21,1,138168992,3,3,0.602059991,3.010299955
111,9,1,nieblalan,3,9,1,5
111,18,1,boks,3,5,0.77815125,3.89075625
111,5,1,scaryzion,3,3,0.602059991,3.010299955
111,84,1,nevertori,11,1,0.301029996,1.50514998
102,101,1,54277204,7,4,0.698970004,3.49485002
102,100,1,sunny.de.sky,7,3,0.602059991,3.010299955
103,5,1,46721798,7,2,0.477121255,2.385606275
103,101,1,zhoujiaqi,3,2,0.477121255,2.385606275
103,100,1,yestrovsky,8,1,0.301029996,1.50514998
112,113,1,49612534,2,2,0.477121255,2.385606275
112,5,1,2472867,2,6,0.84509804,4.2254902
112,45,1,81834646,0,2,0.477121255,2.385606275
114,20,1,wangyi_fly,7,5,0.77815125,3.89075625
114,18,1,131616351,14,1,0.301029996,1.50514998
115,5,1,47904693,14,1,0.301029996,1.50514998
115,19,1,bigsheng,7,2,0.477121255,2.385606275
115,116,1,Black2018,7,1,0.301029996,1.50514998
115,68,1,74561416,3,5,0.77815125,3.89075625
115,117,1,90028520,2,1,0.301029996,1.50514998
118,25,1,127588837,2,1,0.301029996,1.50514998
119,120,1,46665080,8,3,0.602059991,3.010299955
121,5,1,50438518,8,2,0.477121255,2.385606275
101,100,1,29907289,15,1,0.301029996,1.50514998
101,102,1,AlohA0407,15,1,0.301029996,1.50514998
